run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,telemetry_timestamp_ns,measured_rails_w
0,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,19.403,0.6482,83.5,25.5,47.5,0.0,,53.937,,tegrastats,0.008,18.657,0.0,0.736,19.603,tensorrt,,{},False,1,True,006201.png,1788962773573779995,"{""VDD_CPU_CV"": 16.793, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
1,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.896,0.6482,83.5,25.5,47.5,0.0,,53.937,,tegrastats,0.003,11.017,0.0,0.87,12.032,tensorrt,,{},False,3,True,007377.png,1788962773573779995,"{""VDD_CPU_CV"": 16.793, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
2,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.035,0.6656,85.7,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.601,0.0,1.426,9.17,tensorrt,,{},False,6,False,006587.png,1788962773679547085,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
3,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.97,0.6656,85.7,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.373,0.0,0.589,8.1,tensorrt,,{},False,2,False,006905.png,1788962773679547085,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
4,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.839,0.6656,85.7,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.24,0.0,0.591,7.952,tensorrt,,{},False,2,False,007244.png,1788962773679547085,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
5,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.394,0.6656,85.7,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.186,0.0,1.202,8.496,tensorrt,,{},False,5,False,007031.png,1788962773679547085,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
6,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.012,0.6656,85.7,25.5,47.5,1.0,,54.0,,tegrastats,0.004,10.399,0.0,0.607,11.107,tensorrt,,{},False,2,False,006369.png,1788962773679547085,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.195, ""VIN_SYS_5V0"": 5.333}"
7,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.012,0.6776,87.4,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.209,0.0,0.797,8.109,tensorrt,,{},False,3,False,006254.png,1788962773785479864,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.434}"
8,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.831,0.6776,87.4,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.212,0.0,1.612,8.94,tensorrt,,{},False,7,False,006781.png,1788962773785479864,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.434}"
9,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.01,0.6776,87.4,25.5,47.5,1.0,,54.0,,tegrastats,0.003,7.223,0.0,0.779,8.099,tensorrt,,{},False,3,False,006840.png,1788962773785479864,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.434}"
10,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.677,0.6776,87.4,25.5,47.5,1.0,,54.0,,tegrastats,0.004,7.287,0.0,0.382,7.798,tensorrt,,{},False,1,False,007416.png,1788962773785479864,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.434}"
11,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.536,0.7144,89.2,25.6,47.5,13.0,,54.0,,tegrastats,0.004,7.218,0.0,4.309,11.645,tensorrt,,{},False,20,True,007420.png,1788962773785479864,"{""VDD_CPU_CV"": 16.786, ""VDD_GPU_SOC"": 5.995, ""VIN_SYS_5V0"": 5.434}"
12,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.884,0.7144,89.2,25.6,47.5,13.0,,54.0,,tegrastats,0.003,7.195,0.0,1.68,8.995,tensorrt,,{},False,7,False,007182.png,1788962773891431490,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
13,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.706,0.7144,89.2,25.6,47.5,13.0,,54.0,,tegrastats,0.003,7.313,0.0,0.386,7.804,tensorrt,,{},False,1,False,007443.png,1788962773891431490,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
14,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.714,0.7144,89.2,25.6,47.5,13.0,,54.0,,tegrastats,0.004,7.324,0.0,0.383,7.82,tensorrt,,{},False,1,True,006164.png,1788962773891431490,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
15,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.791,0.7144,89.2,25.6,47.5,13.0,,54.0,,tegrastats,0.004,7.176,0.0,1.609,8.888,tensorrt,,{},False,7,False,007087.png,1788962773891431490,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
16,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.179,0.7193,89.9,25.6,47.5,13.0,,54.062,,tegrastats,0.004,7.352,0.0,0.819,8.285,tensorrt,,{},False,3,False,006681.png,1788962773891431490,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
17,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.241,0.7193,89.9,25.6,47.5,13.0,,54.062,,tegrastats,0.004,7.239,0.0,0.996,8.349,tensorrt,,{},False,4,False,006319.png,1788962773997142102,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
18,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.792,0.7193,89.9,25.6,47.5,13.0,,54.062,,tegrastats,0.003,7.179,0.0,1.605,8.889,tensorrt,,{},False,7,False,007392.png,1788962773997142102,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
19,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,5.98,0.7193,89.9,25.6,47.5,13.0,,54.062,,tegrastats,0.004,5.871,0.0,0.103,6.087,tensorrt,,{},False,0,False,006148.png,1788962773997142102,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
20,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.872,0.7193,89.9,25.6,47.5,13.0,,54.062,,tegrastats,0.004,9.416,0.0,0.448,9.965,tensorrt,,{},False,1,False,006447.png,1788962773997142102,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
21,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.71,0.713,89.0,25.6,47.25,13.0,,53.937,,tegrastats,0.005,7.493,0.0,1.209,8.819,tensorrt,,{},False,5,True,006857.png,1788962773997142102,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.394, ""VIN_SYS_5V0"": 5.434}"
22,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.908,0.713,89.0,25.6,47.25,13.0,,53.937,,tegrastats,0.004,7.302,0.0,1.599,9.022,tensorrt,,{},False,7,False,006127.png,1788962774106891283,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
23,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.922,0.713,89.0,25.6,47.25,13.0,,53.937,,tegrastats,0.005,7.114,0.0,0.799,8.042,tensorrt,,{},False,3,False,006831.png,1788962774106891283,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
24,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.944,0.713,89.0,25.6,47.25,13.0,,53.937,,tegrastats,0.004,7.289,0.0,0.647,8.063,tensorrt,,{},False,2,False,006461.png,1788962774106891283,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
25,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.369,0.713,89.0,25.6,47.25,13.0,,53.937,,tegrastats,0.003,10.352,0.0,1.009,11.467,tensorrt,,{},False,4,False,007415.png,1788962774106891283,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
26,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.01,0.7157,89.1,25.6,47.25,14.0,,54.312,,tegrastats,0.004,7.538,0.0,1.464,9.118,tensorrt,,{},False,5,False,006154.png,1788962774106891283,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
27,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.9,0.7157,89.1,25.6,47.25,14.0,,54.312,,tegrastats,0.004,7.401,0.0,1.491,9.012,tensorrt,,{},False,6,False,007336.png,1788962774213504583,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
28,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.082,0.7157,89.1,25.6,47.25,14.0,,54.312,,tegrastats,0.004,7.462,0.0,0.613,8.184,tensorrt,,{},False,2,False,006621.png,1788962774213504583,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
29,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.389,0.7157,89.1,25.6,47.25,14.0,,54.312,,tegrastats,0.004,7.122,0.0,2.26,9.488,tensorrt,,{},False,10,True,006478.png,1788962774213504583,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
30,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.961,0.7018,87.4,25.6,47.25,13.0,,54.156,,tegrastats,0.003,7.357,0.0,0.596,8.08,tensorrt,,{},False,2,False,006352.png,1788962774213504583,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
31,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,16.699,0.7018,87.4,25.6,47.25,13.0,,54.156,,tegrastats,0.004,15.808,0.0,0.882,16.847,tensorrt,,{},False,3,False,007230.png,1788962774213504583,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 6.794, ""VIN_SYS_5V0"": 5.535}"
32,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.185,0.7018,87.4,25.6,47.25,13.0,,54.156,,tegrastats,0.006,11.047,0.0,0.129,11.369,tensorrt,,{},False,0,False,007113.png,1788962774319833959,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
33,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,12.171,0.7368,92.4,25.6,47.25,13.0,,54.343,,tegrastats,0.006,10.286,0.0,1.875,12.316,tensorrt,,{},False,8,False,007162.png,1788962774319833959,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
34,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.167,0.7368,92.4,25.6,47.25,13.0,,54.343,,tegrastats,0.005,8.318,0.0,0.839,9.323,tensorrt,,{},False,3,True,007130.png,1788962774319833959,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
35,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.114,0.7368,92.4,25.6,47.25,13.0,,54.343,,tegrastats,0.004,7.5,0.0,0.605,8.245,tensorrt,,{},False,2,False,006651.png,1788962774429063479,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
36,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.608,0.7368,92.4,25.6,47.25,13.0,,54.343,,tegrastats,0.004,7.215,0.0,0.386,7.705,tensorrt,,{},False,1,False,006282.png,1788962774429063479,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
37,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,11.133,0.7368,92.4,25.6,47.25,13.0,,54.343,,tegrastats,0.004,7.139,0.0,3.986,11.228,tensorrt,,{},False,12,False,006034.png,1788962774429063479,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
38,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.36,0.7191,89.3,25.6,47.25,15.0,,54.343,,tegrastats,0.004,7.136,0.0,2.217,9.461,tensorrt,,{},False,10,True,006519.png,1788962774429063479,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
39,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.201,0.7191,89.3,25.6,47.25,15.0,,54.343,,tegrastats,0.004,7.786,0.0,0.406,8.317,tensorrt,,{},False,1,False,007441.png,1788962774429063479,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
40,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.306,0.7191,89.3,25.6,47.25,15.0,,54.343,,tegrastats,0.004,7.285,0.0,2.012,9.457,tensorrt,,{},False,9,False,006438.png,1788962774538028434,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
41,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.988,0.7191,89.3,25.6,47.25,15.0,,54.343,,tegrastats,0.004,7.178,0.0,0.803,8.093,tensorrt,,{},False,3,False,007456.png,1788962774538028434,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
42,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.328,0.7191,89.3,25.6,47.25,15.0,,54.343,,tegrastats,0.005,7.36,0.0,1.962,9.494,tensorrt,,{},False,9,False,006904.png,1788962774538028434,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
43,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.183,0.7021,87.4,25.7,47.25,13.0,,54.156,,tegrastats,0.003,7.175,0.0,1.001,8.286,tensorrt,,{},False,4,False,007445.png,1788962774538028434,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
44,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,24.737,0.7021,87.4,25.7,47.25,13.0,,54.156,,tegrastats,0.004,22.701,0.0,2.029,24.857,tensorrt,,{},False,9,False,006746.png,1788962774538028434,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
45,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,17.983,0.7021,87.4,25.7,47.25,13.0,,54.156,,tegrastats,0.005,14.779,0.0,3.196,18.115,tensorrt,,{},False,13,False,007151.png,1788962774644009311,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
46,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.161,0.6994,87.3,25.7,47.25,12.0,,54.406,,tegrastats,0.004,7.176,0.0,0.978,8.259,tensorrt,,{},False,4,False,006946.png,1788962774644009311,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
47,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.064,0.6994,87.3,25.7,47.25,12.0,,54.406,,tegrastats,0.004,7.244,0.0,0.813,8.176,tensorrt,,{},False,3,True,006617.png,1788962774644009311,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
48,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.436,0.6994,87.3,25.7,47.25,12.0,,54.406,,tegrastats,0.003,7.056,0.0,0.373,7.527,tensorrt,,{},False,1,True,006434.png,1788962774644009311,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
49,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.963,0.6994,87.3,25.7,47.25,12.0,,54.406,,tegrastats,0.004,7.164,0.0,0.792,8.05,tensorrt,,{},False,3,False,007063.png,1788962774749940589,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
50,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.373,0.6994,87.3,25.7,47.25,12.0,,54.406,,tegrastats,0.004,7.582,0.0,0.784,8.46,tensorrt,,{},False,3,False,006080.png,1788962774749940589,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
51,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.994,0.6957,88.2,25.7,47.25,7.0,,54.437,,tegrastats,0.003,7.215,0.0,0.772,8.079,tensorrt,,{},False,3,True,006280.png,1788962774749940589,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
52,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.282,0.6957,88.2,25.7,47.25,7.0,,54.437,,tegrastats,0.004,7.072,0.0,1.204,8.372,tensorrt,,{},False,5,False,006829.png,1788962774749940589,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
53,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.073,0.6957,88.2,25.7,47.25,7.0,,54.437,,tegrastats,0.004,7.067,0.0,1.998,9.163,tensorrt,,{},False,9,True,006122.png,1788962774749940589,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.635}"
54,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.659,0.6957,88.2,25.7,47.25,7.0,,54.437,,tegrastats,0.004,7.254,0.0,1.398,8.771,tensorrt,,{},False,6,True,007161.png,1788962774855925754,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
55,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,9.214,0.6957,88.2,25.7,47.25,7.0,,54.437,,tegrastats,0.004,7.607,0.0,1.599,9.375,tensorrt,,{},False,7,True,006363.png,1788962774855925754,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
56,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.215,0.7071,88.4,25.7,47.25,12.0,,54.218,,tegrastats,0.004,7.211,0.0,0.998,8.313,tensorrt,,{},False,4,False,007405.png,1788962774855925754,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
57,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.721,0.7071,88.4,25.7,47.25,12.0,,54.218,,tegrastats,0.003,7.122,0.0,0.592,7.808,tensorrt,,{},False,2,False,007158.png,1788962774855925754,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
58,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.724,0.7071,88.4,25.7,47.25,12.0,,54.218,,tegrastats,0.004,7.1,0.0,1.617,8.812,tensorrt,,{},False,7,False,007200.png,1788962774855925754,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
59,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.629,0.7071,88.4,25.7,47.25,12.0,,54.218,,tegrastats,0.004,7.239,0.0,0.383,7.736,tensorrt,,{},False,1,False,006533.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
60,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.054,0.7071,88.4,25.7,47.25,12.0,,54.218,,tegrastats,0.004,7.441,0.0,0.605,8.174,tensorrt,,{},False,2,False,006484.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
61,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.609,0.6952,86.7,25.7,47.25,12.0,,54.187,,tegrastats,0.004,7.194,0.0,1.407,8.699,tensorrt,,{},False,6,False,006891.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
62,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.705,0.6952,86.7,25.7,47.25,12.0,,54.187,,tegrastats,0.004,7.292,0.0,0.403,7.825,tensorrt,,{},False,1,False,006270.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
63,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.161,0.6952,86.7,25.7,47.25,12.0,,54.187,,tegrastats,0.005,7.34,0.0,0.812,8.265,tensorrt,,{},False,3,False,006413.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
64,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.277,0.6952,86.7,25.7,47.25,12.0,,54.187,,tegrastats,0.005,7.42,0.0,0.85,8.376,tensorrt,,{},False,3,False,006874.png,1788962774962013987,"{""VDD_CPU_CV"": 17.193, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
65,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.9,0.6952,86.7,25.7,47.25,12.0,,54.187,,tegrastats,0.004,7.113,0.0,1.78,8.991,tensorrt,,{},False,8,False,006368.png,1788962775068117005,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
66,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.235,0.7021,87.4,25.7,47.25,13.0,,54.375,,tegrastats,0.003,7.437,0.0,0.791,8.336,tensorrt,,{},False,3,False,007358.png,1788962775068117005,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
67,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.768,0.7021,87.4,25.7,47.25,13.0,,54.375,,tegrastats,0.004,7.166,0.0,1.594,8.867,tensorrt,,{},False,7,True,006475.png,1788962775068117005,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
68,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.607,0.7021,87.4,25.7,47.25,13.0,,54.375,,tegrastats,0.004,7.019,0.0,0.581,7.694,tensorrt,,{},False,2,False,006417.png,1788962775068117005,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
69,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.727,0.7021,87.4,25.7,47.25,13.0,,54.375,,tegrastats,0.004,7.328,0.0,1.392,8.822,tensorrt,,{},False,6,False,006778.png,1788962775068117005,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
70,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.376,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.004,6.997,0.0,0.372,7.492,tensorrt,,{},False,1,False,007082.png,1788962775174259159,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
71,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,5.942,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.004,5.832,0.0,0.103,6.029,tensorrt,,{},False,0,False,006712.png,1788962775174259159,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
72,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.308,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.004,7.269,0.0,1.032,8.42,tensorrt,,{},False,4,False,006213.png,1788962775174259159,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
73,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,7.743,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.004,7.13,0.0,0.607,7.853,tensorrt,,{},False,2,False,006675.png,1788962775174259159,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
74,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.916,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.003,7.095,0.0,1.814,9.008,tensorrt,,{},False,8,False,007411.png,1788962775174259159,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.194, ""VIN_SYS_5V0"": 5.535}"
75,0,fixed_small,heavy,0.75,process_steady_v3,11,,SMALL,8.239,0.6972,86.7,25.7,47.25,13.0,,54.25,,tegrastats,0.004,7.392,0.0,0.839,8.33,tensorrt,,{},False,3,False,006249.png,1788962775280715893,"{""VDD_CPU_CV"": 17.186, ""VDD_GPU_SOC"": 7.593, ""VIN_SYS_5V0"": 5.535}"
